CODCLAVECIC,TT,MontoPD,ScoreApplicantVendida,TieneGarantia,MontoGarantiaBCP,NumSegmentoOrtogonal,FlgComportamientoPersona,MontoSolicitado,ProductoMic,TipoCreditoMic,TipoActivo,CampanaMic,RatioEndeudamiento,CantidadPlazo,Moneda,DeltaEntidades,PeriodoGracia,MontoTasaEspecial,NumMesesAntiguedad,V_CodLocalidad,RatioEndeudamientoU6MU12M,FlgTenenciaPasivo,MontoTipoCambio,MontoGarantiaComercial,MontoGarantiaAfectacion,NumPDVendida,ScoreApplicant,CAMPANIA_PYME,TEA_PIZARRA,TEA_10DD,MESAPERTURA,canal_venta,FECHA
215722401,0.078334809,0.02782,379,SIN,0,5,1,122450,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.361078612,36,SOLES,0 o menos,0,0.17,118,325,0.410835518,1,1,0,0,0.02782,379,REACTIVO,0.17,0.17,202311,TRADICIONAL,3/11/2023
215722208,0.077591261,0.05282355,341,SIN,0,1,1,64800,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.653981117,18,SOLES,0 o menos,0,0.21,57,344,0.541553361,1,1,0,0,0.05282355,341,REACTIVO REMOTO,0.21,0.21,202311,DIGITAL,3/11/2023
215713005,0.077748159,0.38663,201,SIN,0,14,0,130000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,24,SOLES,Incrementa,0,0.265,85,1782,1,1,1,0,0,0.38663,201,REACTIVO,0.265,0.265,202311,TRADICIONAL,3/11/2023
215722399,0.077786931,0.04447,351,SIN,0,3,1,30000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.204944582,25,SOLES,0 o menos,0,0.29,133,1335,0.674321013,1,1,0,0,0.04447,351,REACTIVO,0.29,0.29,202311,TRADICIONAL,3/11/2023
215722235,0.078145691,0.04945,345,SIN,0,4,1,137000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,31,SOLES,Incrementa,0,0.195,94,1309,0.49922808,1,1,0,0,0.04945,345,REACTIVO,0.195,0.195,202311,TRADICIONAL,3/11/2023
215722232,0.077781576,0.08302,313,SIN,0,3,1,194000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.854034438,25,SOLES,0 o menos,0,0.2,49,1321,0.617755146,1,1,0,0,0.08302,313,REACTIVO,0.2,0.2,202311,TRADICIONAL,3/11/2023
215722226,0.080797407,0.046186497,349,CON,410042.86,1,1,410000,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,0.748893408,84,SOLES,0 o menos,0,0.135,133,908,0.612133095,1,1,410042.86,410042.86,0.046186497,349,AFI,0.135,0.135,202311,TRADICIONAL,3/11/2023
215722323,0.077745481,0.11757382,291,SIN,0,1,1,7500,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.736516173,12,SOLES,0 o menos,0,0.39,24,1328,0.238676721,1,1,0,0,0.11757382,291,REACTIVO REMOTO,0.39,0.39,202311,DIGITAL,3/11/2023
215722225,0.07949322,0.004102787,491,CON,718900,5,1,500000,NEGOCIO COMERCIAL,ACFI,Mueble,ACTIVO FIJO MUEBLES,0.958412002,60,SOLES,0 o menos,0,0.125,93,1313,0.64311926,1,1,718900,718900,0.004102787,491,AFM,0.125,0.125,202311,TRADICIONAL,3/11/2023
215722404,0.080066575,0.008032571,452,CON,650000,4,0,600000,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.807500595,72,SOLES,Incrementa,0,0.133,39,537,0.604880971,1,1,650000,650000,0.008032571,452,MULTIPROPOSITO,0.133,0.133,202311,TRADICIONAL,3/11/2023
215722420,0.07776069,0.08445,312,SIN,0,4,1,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,24,SOLES,Incrementa,0,0.23,28,1531,1,1,1,0,0,0.08445,312,REACTIVO,0.23,0.23,202311,TRADICIONAL,3/11/2023
215722405,0.077748373,0.05613,337,SIN,0,5,0,100000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.524801873,24,SOLES,Incrementa,0,0.28,122,537,0.297375292,1,1,0,0,0.05613,337,REACTIVO,0.28,0.28,202311,TRADICIONAL,3/11/2023
215722221,0.077588691,0.07602,318,SIN,0,4,0,90000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.405883312,18,SOLES,0 o menos,0,0.25,347,1335,0.523647172,1,1,0,0,0.07602,318,REACTIVO,0.25,0.25,202311,TRADICIONAL,3/11/2023
