product_code_final,Moneda,CantidadPlazo,t,prepagoRDM
1,DOLARES,18,5,0.036796389
1,DOLARES,18,6,0.038771585
1,DOLARES,18,7,0.040495595
1,DOLARES,18,8,0.041986085
1,DOLARES,18,9,0.043260148
1,DOLARES,18,10,0.044334441
1,DOLARES,18,11,0.045225081
1,DOLARES,18,12,0.04594758
1,DOLARES,18,13,0.046517045
1,DOLARES,18,14,0.046948014
1,DOLARES,18,15,0.047254517
1,DOLARES,18,16,0.047450082
1,DOLARES,18,17,0.047547696
1,DOLARES,18,18,0.047559776
1,DOLARES,18,19,0.047498368
1,DOLARES,18,20,0
1,DOLARES,18,21,0
1,DOLARES,18,22,0
1,DOLARES,18,23,0
1,DOLARES,18,24,0
1,DOLARES,18,25,0
1,DOLARES,18,26,0
1,DOLARES,18,27,0
1,DOLARES,18,28,0
1,DOLARES,18,29,0
1,DOLARES,18,30,0
1,DOLARES,18,31,0
1,DOLARES,18,32,0
1,DOLARES,18,33,0
1,DOLARES,18,34,0
1,DOLARES,18,35,0
1,DOLARES,18,36,0
1,DOLARES,18,37,0
1,DOLARES,18,38,0
1,DOLARES,18,39,0
1,DOLARES,18,40,0
1,DOLARES,18,41,0
1,DOLARES,18,42,0
1,DOLARES,18,43,0
1,DOLARES,18,44,0
1,DOLARES,18,45,0
1,DOLARES,18,46,0
1,DOLARES,18,47,0
1,DOLARES,18,48,0
1,DOLARES,18,49,0
1,DOLARES,18,50,0
1,DOLARES,18,51,0
1,DOLARES,18,52,0
1,DOLARES,18,53,0
1,DOLARES,18,54,0
1,DOLARES,18,55,0
1,DOLARES,18,56,0
1,DOLARES,18,57,0
1,DOLARES,18,58,0
1,DOLARES,18,59,0
1,DOLARES,18,60,0
1,DOLARES,18,61,0
1,DOLARES,18,62,0
1,DOLARES,18,63,0
1,DOLARES,18,64,0
1,DOLARES,18,65,0
1,DOLARES,18,66,0
1,DOLARES,18,67,0
1,DOLARES,18,68,0
1,DOLARES,18,69,0
1,DOLARES,18,70,0
1,DOLARES,18,71,0
1,DOLARES,18,72,0
1,DOLARES,18,73,0
1,DOLARES,18,74,0
1,DOLARES,18,75,0
1,DOLARES,18,76,0
1,DOLARES,18,77,0
1,DOLARES,18,78,0
1,DOLARES,18,79,0
1,DOLARES,18,80,0
1,DOLARES,18,81,0
1,DOLARES,18,82,0
1,DOLARES,18,83,0
1,DOLARES,18,84,0
1,DOLARES,18,85,0
1,DOLARES,18,86,0
1,DOLARES,18,87,0
1,DOLARES,18,88,0
1,DOLARES,18,89,0
1,DOLARES,18,90,0
1,DOLARES,18,91,0
1,DOLARES,18,92,0
1,DOLARES,18,93,0
1,DOLARES,18,94,0
1,DOLARES,18,95,0
1,DOLARES,18,96,0
1,DOLARES,18,97,0
1,DOLARES,18,98,0
1,DOLARES,18,99,0
1,DOLARES,18,100,0
1,DOLARES,18,101,0
1,DOLARES,18,102,0
1,DOLARES,18,103,0
1,DOLARES,18,104,0
1,DOLARES,18,105,0
1,DOLARES,18,106,0
1,DOLARES,18,107,0
1,DOLARES,18,108,0
1,DOLARES,18,109,0
1,DOLARES,18,110,0
1,DOLARES,18,111,0
1,DOLARES,18,112,0
1,DOLARES,18,113,0
1,DOLARES,18,114,0
1,DOLARES,18,115,0
1,DOLARES,18,116,0
1,DOLARES,18,117,0
1,DOLARES,18,118,0
1,DOLARES,18,119,0
1,DOLARES,18,120,0
1,DOLARES,18,121,0
1,DOLARES,18,122,0
1,DOLARES,18,123,0
1,DOLARES,18,124,0
1,DOLARES,18,125,0
1,DOLARES,18,126,0
1,DOLARES,18,127,0
1,DOLARES,18,128,0
1,DOLARES,18,129,0
1,DOLARES,18,130,0
1,DOLARES,18,131,0
1,DOLARES,18,132,0
1,DOLARES,18,133,0
1,DOLARES,18,134,0
1,DOLARES,18,135,0
